crate/cratesio/-/byteorder/1.5.0, Unlicense OR MIT, approved, clearlydefined
crate/cratesio/-/bytes-utils/0.1.4, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/bytes/1.12.1, MIT, approved, #29659
crate/cratesio/-/cbc/0.1.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/cel/0.14.5, MIT AND Apache-2.0, approved, #31142
crate/cratesio/-/cfg-if/1.0.5, , restricted, clearlydefined
crate/cratesio/-/chacha20/0.10.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30086
crate/cratesio/-/chrono/0.4.45, Apache-2.0 AND MIT, approved, #25679
crate/cratesio/-/cipher/0.4.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/clap/4.6.7, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26540
crate/cratesio/-/clap_builder/4.6.7, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26539
crate/cratesio/-/clap_derive/4.6.7, Apache-2.0 AND MIT AND Apache-2.0 AND MIT AND (Apache-2.0 AND MIT AND MIT-0), approved, #26548
crate/cratesio/-/clap_lex/1.1.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26545
crate/cratesio/-/cmov/0.5.4, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/colorchoice/1.0.5, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16992
crate/cratesio/-/concurrent-queue/2.5.0, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/config/0.15.25, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/const-oid/0.10.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #29129
crate/cratesio/-/const-oid/0.9.6, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/const-random-macro/0.1.16, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/const-random/0.1.18, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/convert_case/0.6.0, MIT, approved, clearlydefined
crate/cratesio/-/core_detect/1.0.0, , restricted, clearlydefined
crate/cratesio/-/cpufeatures/0.2.17, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16101
crate/cratesio/-/cpufeatures/0.3.1, , restricted, clearlydefined
crate/cratesio/-/crc-catalog/2.5.0, MIT OR Apache-2.0, restricted, clearlydefined
crate/cratesio/-/crc-fast/1.10.0, Apache-2.0 AND MIT AND Zlib, approved, #31113
crate/cratesio/-/crc/3.4.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/crc32fast/1.5.2, , restricted, clearlydefined
crate/cratesio/-/crossbeam-queue/0.3.14, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30073
crate/cratesio/-/crossbeam-utils/0.8.23, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30082
crate/cratesio/-/crunchy/0.2.4, MIT, approved, clearlydefined
crate/cratesio/-/crypto-bigint/0.5.5, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/crypto-common/0.1.7, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/crypto-common/0.2.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #29128
crate/cratesio/-/ctutils/0.4.2, Apache-2.0 AND MIT, approved, #31149
crate/cratesio/-/curve25519-dalek-derive/0.1.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/curve25519-dalek/4.1.3, BSD-3-Clause, approved, #22543
crate/cratesio/-/daemonix/0.1.0, , restricted, clearlydefined
crate/cratesio/-/daggy/0.8.1, Apache-2.0 AND MIT, approved, #31129
crate/cratesio/-/darling/0.24.1, MIT, approved, #31106
crate/cratesio/-/darling_core/0.24.1, MIT, approved, #31117
crate/cratesio/-/darling_macro/0.24.1, MIT, approved, #31102
crate/cratesio/-/dashmap/5.5.3, MIT, approved, clearlydefined
crate/cratesio/-/dataplane-sdk-axum/0.1.2, Apache-2.0, approved, #31128
crate/cratesio/-/dataplane-sdk-postgres/0.1.2, Apache-2.0, approved, #31104
crate/cratesio/-/dataplane-sdk/0.1.2, Apache-2.0, approved, #31160
crate/cratesio/-/der/0.7.10, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/deranged/0.5.8, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #23552
crate/cratesio/-/derivative/2.2.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/digest/0.10.7, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/digest/0.11.3, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #29127
crate/cratesio/-/displaydoc/0.2.7, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17430
crate/cratesio/-/dlv-list/0.5.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/docker_credential/1.4.0, , restricted, clearlydefined
crate/cratesio/-/dotenvy/0.15.7, MIT, approved, clearlydefined
crate/cratesio/-/ecdsa/0.16.9, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #22476
crate/cratesio/-/ed25519-dalek/2.2.0, BSD-3-Clause, approved, #22483
crate/cratesio/-/ed25519/1.5.3, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/ed25519/2.2.3, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/either/1.18.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30520
crate/cratesio/-/elliptic-curve/0.13.8, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/encoding_rs/0.8.41, Apache-2.0 AND BSD-3-Clause AND MIT AND Apache-2.0 AND (Apache-2.0 AND CC0-1.0 AND MIT) AND MIT AND BSD-3-Clause AND (Apache-2.0 AND BSD-3-Clause AND CC0-1.0 AND MIT) AND (Apache-2.0 AND MIT) AND CC0-1.0, approved, #9762
crate/cratesio/-/equivalent/1.0.2, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/erased-serde/0.4.10, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #24465
crate/cratesio/-/errno/0.3.14, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/etcetera/0.11.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/event-listener-strategy/0.5.4, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/event-listener/5.4.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30067
crate/cratesio/-/fastrand/2.5.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30077
crate/cratesio/-/ferroid/0.8.9, Apache-2.0 AND MIT, approved, #31165
crate/cratesio/-/ff/0.13.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/filetime/0.2.29, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/fixedbitset/0.5.7, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #21858
crate/cratesio/-/flate2/1.1.10, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25681
crate/cratesio/-/flurry/0.5.2, MIT OR Apache-2.0, restricted, clearlydefined
crate/cratesio/-/fnv/1.0.7, Apache-2.0 OR MIT, approved, clearlydefined
